01,4858979
02,738432
04,6828065
05,2978204
06,39144818
08,5456574
09,3590886
10,945934
11,672228
12,20271272
13,10214860
15,1431603
16,1654930
17,12859995
18,6619680
19,3123899
20,2911641
21,4425092
22,4670724
23,1329328
24,6006401
25,6794422
26,9922576
27,5489594
28,2992333
29,6083672
30,1032949
31,1896190
32,2890845
33,1330608
34,8958013
35,2085109
36,19795791
37,10042802
38,756927
39,11613423
40,3911338
41,4028977
42,12802503
44,1056298
45,4896146
46,858469
47,6600299
48,27469114
49,2995919
50,626042
51,8382993
53,7170351
54,1844128
55,5771337
56,586107
72,3474182
